Transaction_ID,Date,Item_Name,Category,Time_Slot,Day_Type,Weather_State,Base_Price_₹,Recommended_Price_₹,Quantity_Units,Static_Revenue_₹,Dynamic_Revenue_₹,Revenue_Difference_₹,Direction,Demand_Verdict,Review_Flag
4226,2024-07-19,Tempura Vegetables,Share-A-Plate,Dinner,Weekend,Light Drizzle,155,155,2,310,310,0,HOLD,NORMAL,OK
4227,2024-07-19,Tres Leches Cake,Dessert,Dinner,Weekend,Light Drizzle,215,215,2,430,430,0,HOLD,NORMAL,OK
4228,2024-07-19,Dark Hot Chocolate,Hot Chocolate,Dinner,Weekend,Light Drizzle,120,120,1,120,120,0,HOLD,NORMAL,OK
4229,2024-07-19,Mix Veg Dumplings,Steam Basket,Dinner,Weekend,Light Drizzle,249,250,1,249,250,1,HOLD,NORMAL,OK
4230,2024-07-19,Brownie Blast Shake,Premium Shakes,Evening,Weekend,Light Drizzle,260,260,1,260,260,0,HOLD,NORMAL,OK
4231,2024-07-19,Black Tea,Hot Beverages,Morning,Weekend,Light Drizzle,90,90,2,180,180,0,HOLD,NORMAL,OK
4232,2024-07-19,Masala Chai,Hot Beverages,Morning,Weekend,Light Drizzle,120,120,1,120,120,0,HOLD,NORMAL,OK
4233,2024-07-19,Café Latte,Hot Brews,Morning,Weekend,Light Drizzle,160,160,2,320,320,0,HOLD,NORMAL,OK
4234,2024-07-19,Chole Puri,Wholesome Breakfast,Morning,Weekend,Light Drizzle,125,125,1,125,125,0,HOLD,NORMAL,OK
4235,2024-07-19,Iced Café Latte,Cold Brews,Morning,Weekend,Light Drizzle,160,160,1,160,160,0,HOLD,NORMAL,OK
4236,2024-07-19,Classic Waffle,Pancakes & Waffwich,Morning,Weekend,Light Drizzle,279,280,1,279,280,1,HOLD,NORMAL,OK
4237,2024-07-19,Chinese Style Greens Panini,Sandwiches Burgers Wraps,Evening,Weekend,Light Drizzle,155,155,1,155,155,0,HOLD,NORMAL,OK
4238,2024-07-19,Jalapeno Cheese Corn Balls,Share-A-Plate,Evening,Weekend,Light Drizzle,240,240,1,240,240,0,HOLD,NORMAL,OK
4239,2024-07-19,Spicy Guava Mocktail,Mocktails,Evening,Weekend,Light Drizzle,180,180,1,180,180,0,HOLD,NORMAL,OK
4240,2024-07-19,Espresso,Hot Brews,Evening,Weekend,Light Drizzle,110,110,1,110,110,0,HOLD,NORMAL,OK
4241,2024-07-19,Minty Cookie Cappuccino,Hot Brews,Evening,Weekend,Light Drizzle,190,190,1,190,190,0,HOLD,NORMAL,OK
4242,2024-07-19,Margherita Pizza,Pizza,Dinner,Weekend,Light Drizzle,299,300,1,299,300,1,HOLD,NORMAL,OK
4243,2024-07-19,Honey Ginger Lime Tea,Hot Beverages,Dinner,Weekend,Light Drizzle,170,170,1,170,170,0,HOLD,NORMAL,OK
4244,2024-07-19,Lemon Coriander Soup,Soup,Dinner,Weekend,Light Drizzle,179,180,1,179,180,1,HOLD,NORMAL,OK
4245,2024-07-19,Spiced Mocha Latte,Hot Brews,Dinner,Weekend,Light Drizzle,180,180,1,180,180,0,HOLD,NORMAL,OK
4246,2024-07-19,Pho,Large Soup Bowls,Dinner,Weekend,Light Drizzle,349,350,2,698,700,2,HOLD,NORMAL,OK
4247,2024-07-19,Penne Rose,Pasta,Dinner,Weekend,Light Drizzle,335,335,2,670,670,0,HOLD,NORMAL,OK
4248,2024-07-19,Espresso Frappe,Frappe,Afternoon,Weekend,Light Drizzle,180,180,1,180,180,0,HOLD,NORMAL,OK
4249,2024-07-19,Hazelnut Hot Chocolate,Hot Chocolate,Evening,Weekend,Light Drizzle,160,160,2,320,320,0,HOLD,NORMAL,OK
4250,2024-07-19,Grilled Cheese Sandwich,Sandwiches Burgers Wraps,Evening,Weekend,Light Drizzle,199,200,1,199,200,1,HOLD,NORMAL,OK
4251,2024-07-19,Cream Cheese Waffwich,Pancakes & Waffwich,Morning,Weekend,Light Drizzle,315,315,1,315,315,0,HOLD,NORMAL,OK
4252,2024-07-19,Chimichanga,Blended Full Meals,Afternoon,Weekend,Light Drizzle,255,255,1,255,255,0,HOLD,NORMAL,OK
4253,2024-07-19,Peach Iced Tea,Cold Beverages,Afternoon,Weekend,Light Drizzle,140,140,1,140,140,0,HOLD,NORMAL,OK
4254,2024-07-19,Jalapeno Cheese Corn Balls,Share-A-Plate,Afternoon,Weekend,Light Drizzle,240,240,1,240,240,0,HOLD,NORMAL,OK
4255,2024-07-19,Butter Croissant,Bakery,Afternoon,Weekend,Light Drizzle,120,120,1,120,120,0,HOLD,NORMAL,OK
4256,2024-07-19,Nutella Croissant,Bakery,Afternoon,Weekend,Light Drizzle,175,175,1,175,175,0,HOLD,NORMAL,OK
4257,2024-07-19,Chocolate Walnut Brownie,Dessert,Afternoon,Weekend,Light Drizzle,200,200,1,200,200,0,HOLD,NORMAL,OK
4258,2024-07-19,Paneer And Cheese Quesadilla,Share-A-Plate,Afternoon,Weekend,Light Drizzle,255,255,1,255,255,0,HOLD,NORMAL,OK
4259,2024-07-19,Thai Curry Red,Blended Full Meals,Dinner,Weekend,Light Drizzle,399,400,2,798,800,2,HOLD,NORMAL,OK
4260,2024-07-19,Caesar Salad,Salad Bowls,Afternoon,Weekend,Light Drizzle,189,190,1,189,190,1,HOLD,NORMAL,OK
4261,2024-07-19,Kiwi Mojito,Mocktails,Afternoon,Weekend,Light Drizzle,140,140,1,140,140,0,HOLD,NORMAL,OK
4262,2024-07-19,Green Apple Mojito,Mocktails,Afternoon,Weekend,Light Drizzle,120,120,1,120,120,0,HOLD,NORMAL,OK
4263,2024-07-19,Stuffed Paratha Aloo,Wholesome Breakfast,Morning,Weekend,Light Drizzle,125,125,1,125,125,0,HOLD,NORMAL,OK
4264,2024-07-19,Honey Ginger Lime Tea,Hot Beverages,Dinner,Weekend,Light Drizzle,170,170,1,170,170,0,HOLD,NORMAL,OK
4265,2024-07-19,Thai Curry Red,Blended Full Meals,Dinner,Weekend,Light Drizzle,399,400,1,399,400,1,HOLD,NORMAL,OK
4266,2024-07-19,Thai Curry Green,Blended Full Meals,Dinner,Weekend,Light Drizzle,395,395,2,790,790,0,HOLD,NORMAL,OK
4267,2024-07-19,Crème Brulee,Dessert,Dinner,Weekend,Light Drizzle,225,225,1,225,225,0,HOLD,NORMAL,OK
4268,2024-07-19,Salted Fries,Share-A-Plate,Dinner,Weekend,Light Drizzle,149,150,1,149,150,1,HOLD,NORMAL,OK
4269,2024-07-19,Shawarma,Blended Full Meals,Dinner,Weekend,Light Drizzle,345,345,1,345,345,0,HOLD,NORMAL,OK
4270,2024-07-20,Café Mocha,Hot Brews,Evening,Weekend,Heavy Rain,170,185,1,170,185,15,INCREASE,HIGH,OK
4271,2024-07-20,Egg Wrap,Sandwiches Burgers Wraps,Evening,Weekend,Heavy Rain,155,155,1,155,155,0,HOLD,NORMAL,OK
4272,2024-07-20,Cajun Cottage-Cheese Burger,Sandwiches Burgers Wraps,Evening,Weekend,Heavy Rain,255,275,1,255,275,20,INCREASE,HIGH,OK
4273,2024-07-20,Marshmallow Hot Chocolate,Hot Chocolate,Evening,Weekend,Heavy Rain,200,225,1,200,225,25,INCREASE,HIGH,OK
4274,2024-07-20,Mexican Panini,Sandwiches Burgers Wraps,Evening,Weekend,Heavy Rain,169,175,2,338,350,12,INCREASE,HIGH,OK
4275,2024-07-20,Vietnamese Iced Café,Cold Brews,Evening,Weekend,Heavy Rain,190,190,1,190,190,0,HOLD,NORMAL,OK
4276,2024-07-20,Americano,Hot Brews,Evening,Weekend,Heavy Rain,160,175,2,320,350,30,INCREASE,HIGH,OK
4277,2024-07-20,Traditional Hot Chocolate,Hot Chocolate,Morning,Weekend,Heavy Rain,140,140,1,140,140,0,HOLD,NORMAL,OK
4278,2024-07-20,Virgin Pina Colada,Mocktails,Dinner,Weekend,Heavy Rain,200,200,2,400,400,0,HOLD,NORMAL,OK
4279,2024-07-20,Greek-O-Greek Pizza,Pizza,Dinner,Weekend,Heavy Rain,420,475,1,420,475,55,INCREASE,HIGH,REVIEW_REQUIRED
4280,2024-07-20,Green Tea,Hot Beverages,Morning,Weekend,Heavy Rain,150,150,1,150,150,0,HOLD,NORMAL,OK
4281,2024-07-20,Cream Cheese Waffwich,Pancakes & Waffwich,Morning,Weekend,Heavy Rain,315,315,1,315,315,0,HOLD,NORMAL,OK
4282,2024-07-20,Jalapeno Cheese Corn Balls,Share-A-Plate,Dinner,Weekend,Heavy Rain,240,265,1,240,265,25,INCREASE,HIGH,OK
4283,2024-07-20,Bounty Hot Chocolate,Hot Chocolate,Dinner,Weekend,Heavy Rain,190,210,1,190,210,20,INCREASE,HIGH,OK
4284,2024-07-20,Espresso Frappe,Frappe,Evening,Weekend,Heavy Rain,180,180,1,180,180,0,HOLD,NORMAL,OK
4285,2024-07-20,Café Mocha,Hot Brews,Evening,Weekend,Heavy Rain,170,185,1,170,185,15,INCREASE,HIGH,OK
4286,2024-07-20,Mexican Panini,Sandwiches Burgers Wraps,Evening,Weekend,Heavy Rain,169,175,1,169,175,6,INCREASE,HIGH,OK
4287,2024-07-20,Chocolate Chip Cookie,Bakery,Evening,Weekend,Heavy Rain,50,50,1,50,50,0,HOLD,NORMAL,OK
4288,2024-07-20,Spicy Cheesy Broccoli Dumplings,Steam Basket,Afternoon,Weekend,Heavy Rain,255,255,2,510,510,0,HOLD,NORMAL,OK
4289,2024-07-20,Kaopoon Ramen Bowl,Large Soup Bowls,Afternoon,Weekend,Heavy Rain,409,410,1,409,410,1,HOLD,NORMAL,REVIEW_REQUIRED
4290,2024-07-20,Spaghetti Arabiatta,Pasta,Dinner,Weekend,Heavy Rain,369,370,1,369,370,1,HOLD,NORMAL,OK
4291,2024-07-20,Burnt Garlic Cheese Fondue,Fondue,Dinner,Weekend,Heavy Rain,579,580,1,579,580,1,HOLD,NORMAL,REVIEW_REQUIRED
4292,2024-07-20,Green Apple Mojito,Mocktails,Evening,Weekend,Heavy Rain,120,120,1,120,120,0,HOLD,NORMAL,OK
4293,2024-07-20,Scrambled Eggs / Bhurji,Classic Eggs,Morning,Weekend,Heavy Rain,145,145,1,145,145,0,HOLD,NORMAL,OK
4294,2024-07-20,Chimichanga,Blended Full Meals,Afternoon,Weekend,Heavy Rain,255,255,1,255,255,0,HOLD,NORMAL,OK
4295,2024-07-20,Fish Fillet Burger,Sandwiches Burgers Wraps,Afternoon,Weekend,Heavy Rain,350,350,1,350,350,0,HOLD,NORMAL,OK
4296,2024-07-20,Lemon Coriander Soup,Soup,Dinner,Weekend,Heavy Rain,179,180,2,358,360,2,HOLD,NORMAL,OK
4297,2024-07-20,Honey Ginger Lime Tea,Hot Beverages,Dinner,Weekend,Heavy Rain,170,170,1,170,170,0,HOLD,NORMAL,OK
4298,2024-07-20,Veg Toast / Plain Sandwich,Sandwiches Burgers Wraps,Afternoon,Weekend,Heavy Rain,120,120,2,240,240,0,HOLD,NORMAL,OK
4299,2024-07-20,Green Apple Mojito,Mocktails,Evening,Weekend,Heavy Rain,120,120,1,120,120,0,HOLD,NORMAL,OK
4300,2024-07-20,Californian Fries,Share-A-Plate,Evening,Weekend,Heavy Rain,215,215,1,215,215,0,HOLD,NORMAL,OK
4301,2024-07-20,Triple Decker Sandwich,Sandwiches Burgers Wraps,Evening,Weekend,Heavy Rain,285,285,2,570,570,0,HOLD,NORMAL,OK
4302,2024-07-20,Cappuccino,Hot Brews,Evening,Weekend,Heavy Rain,160,160,1,160,160,0,HOLD,NORMAL,OK
4303,2024-07-20,Chili Garlic Chicken Dumplings,Steam Basket,Dinner,Weekend,Heavy Rain,375,375,1,375,375,0,HOLD,NORMAL,OK
4304,2024-07-20,Creamy Cheesy Hot Corn Bruschetta,Share-A-Plate,Dinner,Weekend,Heavy Rain,230,250,1,230,250,20,INCREASE,HIGH,OK
4305,2024-07-20,Soy Ramen Bowl,Large Soup Bowls,Dinner,Weekend,Heavy Rain,349,395,1,349,395,46,INCREASE,HIGH,OK
4306,2024-07-20,Chicken Hakka Dry Chili,Share-A-Plate,Dinner,Weekend,Heavy Rain,359,360,2,718,720,2,HOLD,NORMAL,OK
4307,2024-07-20,Thai Curry Green,Blended Full Meals,Dinner,Weekend,Heavy Rain,395,450,1,395,450,55,INCREASE,HIGH,OK
4308,2024-07-20,Masala Chai,Hot Beverages,Dinner,Weekend,Heavy Rain,120,130,1,120,130,10,INCREASE,HIGH,OK
4309,2024-07-20,Traditional Hot Chocolate,Hot Chocolate,Dinner,Weekend,Heavy Rain,140,155,1,140,155,15,INCREASE,HIGH,OK
4310,2024-07-20,Triple Chocolate Mousse,Dessert,Dinner,Weekend,Heavy Rain,280,280,2,560,560,0,HOLD,NORMAL,OK
4311,2024-07-20,Chimichanga,Blended Full Meals,Dinner,Weekend,Heavy Rain,255,265,1,255,265,10,INCREASE,HIGH,OK
4312,2024-07-20,Traditional Hot Chocolate,Hot Chocolate,Evening,Weekend,Heavy Rain,140,155,2,280,310,30,INCREASE,HIGH,OK
4313,2024-07-20,Mexicana Pizza,Pizza,Dinner,Weekend,Heavy Rain,449,510,1,449,510,61,INCREASE,HIGH,REVIEW_REQUIRED
4314,2024-07-20,Espresso,Hot Brews,Dinner,Weekend,Heavy Rain,110,115,1,110,115,5,INCREASE,HIGH,OK
4315,2024-07-21,Jalapeño Cheese Fondue,Fondue,Dinner,Weekend,Light Drizzle,695,695,2,1390,1390,0,HOLD,NORMAL,REVIEW_REQUIRED
4316,2024-07-21,Greek-O-Greek Pizza,Pizza,Dinner,Weekend,Light Drizzle,420,420,1,420,420,0,HOLD,NORMAL,REVIEW_REQUIRED
4317,2024-07-21,Bounty Hot Chocolate,Hot Chocolate,Dinner,Weekend,Light Drizzle,190,190,1,190,190,0,HOLD,NORMAL,OK
4318,2024-07-21,Truffle Chocolate Pastry,Dessert,Dinner,Weekend,Light Drizzle,285,285,2,570,570,0,HOLD,NORMAL,OK
4319,2024-07-21,Californian Fries,Share-A-Plate,Evening,Weekend,Light Drizzle,215,215,2,430,430,0,HOLD,NORMAL,OK
4320,2024-07-21,Triple Chocolate Mousse,Dessert,Evening,Weekend,Light Drizzle,280,280,1,280,280,0,HOLD,NORMAL,OK
4321,2024-07-21,Kiwi Mojito,Mocktails,Afternoon,Weekend,Light Drizzle,140,140,1,140,140,0,HOLD,NORMAL,OK
4322,2024-07-21,Watermelon Mojito,Mocktails,Afternoon,Weekend,Light Drizzle,160,160,1,160,160,0,HOLD,NORMAL,OK
4323,2024-07-21,Mix Veg Double Cheese Burger,Sandwiches Burgers Wraps,Afternoon,Weekend,Light Drizzle,189,190,2,378,380,2,HOLD,NORMAL,OK
4324,2024-07-21,Honey Ginger Lime Tea,Hot Beverages,Dinner,Weekend,Light Drizzle,170,170,1,170,170,0,HOLD,NORMAL,OK
4325,2024-07-21,Honey Ginger Lime Tea,Hot Beverages,Morning,Weekend,Light Drizzle,170,170,2,340,340,0,HOLD,NORMAL,OK
4326,2024-07-21,Fruit Pancakes,Pancakes & Waffwich,Morning,Weekend,Light Drizzle,299,300,2,598,600,2,HOLD,NORMAL,OK
4327,2024-07-21,Marshmallow Hot Chocolate,Hot Chocolate,Dinner,Weekend,Light Drizzle,200,200,1,200,200,0,HOLD,NORMAL,OK
4328,2024-07-21,Tiramisu,Dessert,Dinner,Weekend,Light Drizzle,300,300,1,300,300,0,HOLD,NORMAL,OK
4329,2024-07-21,Chili Garlic Chicken Dumplings,Steam Basket,Dinner,Weekend,Light Drizzle,375,375,1,375,375,0,HOLD,NORMAL,OK
4330,2024-07-21,Bombay Masala Sandwich,Sandwiches Burgers Wraps,Morning,Weekend,Light Drizzle,139,140,1,139,140,1,HOLD,NORMAL,OK
4331,2024-07-21,Nutella Croissant,Bakery,Morning,Weekend,Light Drizzle,175,175,2,350,350,0,HOLD,NORMAL,OK
4332,2024-07-21,Traditional Hot Chocolate,Hot Chocolate,Morning,Weekend,Light Drizzle,140,140,1,140,140,0,HOLD,NORMAL,OK
4333,2024-07-21,Bacon Wrapped Chicken,Blended Full Meals,Dinner,Weekend,Light Drizzle,659,660,1,659,660,1,HOLD,NORMAL,REVIEW_REQUIRED
